School,Enrollment
Washington Virtual Academy Omak Elementary,"1,272"
Lake Wilderness Elementary,"1,215"
Rock Creek Elementary,"1,005"
Glacier Park Elementary,"1,005"
Fernwood Elementary,942
Carson Elementary,918
Maya Angelou Elementary,903
Union Ridge Elementary,837
Ruth Livingston Elementary,825
Woodmoor Elementary,818
