School,Enrollment
Rosa Parks Elementary,"1,693"
McCabe Elementary,"1,389"
Ronald Reagan Elementary,"1,368"
Sunrise Elementary,"1,328"
Pacoima Charter Elementary,"1,303"
Harada Elementary,"1,291"
Eastvale Elementary,"1,279"
Ocia A. Peters Elementary,"1,257"
Heber Elementary,"1,245"
Alicante Avenue Elementary,"1,213"
