school_name,state_name,enrollment
Chalone Peaks Middle,California,840
Santa Lucia Elementary,California,689
Del Rey Elementary,California,714
King City Arts Magnet,California,435
Special Education Preschool,California,
Phoenix Academy Community Day,California,3
Alta Elementary,California,358
Citrus Middle,California,654
Dunlap Elementary,California,366
General Grant Middle,California,562
Great Western Elementary,California,359
Jefferson Elementary,California,413
Kings Canyon Continuation,California,106
Lincoln Elementary,California,339
McCord Elementary,California,458
Navelencia Middle,California,352
Reedley High,California,1787
Riverview Elementary,California,468
Sheridan Elementary,California,529
Washington Elementary,California,399
Mountain View (Alternative),California,127
A. L. Conner Elementary,California,352
Thomas Law Reed Elementary,California,659
Orange Cove High,California,648
Silas Bartsch,California,690
Dunlap Leadership Academy,California,61
Reedley Middle College High,California,157
KC KIDS Pre-School,California,
Kings Canyon Unified School District Wide Preschools,California,
Kings River Elementary,California,455
Kings River-Hardwick Elementary,California,827
Lincoln Elementary,California,439
Roosevelt Elementary,California,221
Washington Elementary,California,284
Kingsburg Community Charter Extension,California,146
Rafer Johnson Junior High,California,464
Ronald W. Reagan Elementary,California,676
Island Community Day,California,1
Kingsburg High,California,1083
Oasis Continuation High,California,38
Kingsburg Independent Study High,California,39
Kirkwood Elementary,California,104
Kit Carson Elementary,California,370
Mid Valley Alternative Charter,California,18
Kings Valley Academy,California,449
Klamath River Elementary,California,23
Captain John Continuation High,California,26
Hoopa Valley Elementary,California,420
Hoopa Valley High,California,250
Jack Norton Elementary,California,29
Orleans Elementary,California,77
Trinity Valley Elementary,California,183
Weitchpec Elementary,California,14
River's Edge Community Day,California,
Two Rivers Community Day,California,
Kneeland Elementary,California,29
Knights Ferry Elementary,California,119
Knightsen Elementary,California,406
Old River Elementary,California,179
Burns Valley,California,513
Carle (William C.) High (Continuation),California,85
East Lake,California,145
Lower Lake High,California,873
Highlands Academy,California,12
Lower Lake Elementary,California,602
Richard H. Lewis Alternative,California,25
Pomo,California,685
Blue Heron,California,26
Konocti Preschool,California,
Konocti Education Center,California,397
La Canada Elementary,California,652
La Canada High,California,2085
Paradise Canyon Elementary,California,715
Palm Crest Elementary,California,669
El Cerrito Elementary,California,348
Imperial Middle,California,779
Ladera Palma Elementary,California,417
Las Lomas Elementary,California,403
Las Positas Elementary,California,461
Sierra Vista Elementary,California,519
Walnut Elementary,California,578
Washington Middle,California,841
Arbolita Elementary,California,375
La Honda Elementary,California,56
Pescadero Elementary and Middle,California,164
Pescadero High,California,98
Avondale Elementary,California,447
Bancroft Elementary,California,563
Casa de Oro Elementary,California,366
Fletcher Hills Elementary,California,660
Highlands Elementary,California,535
Kempton Street Literacy Academy,California,382
La Mesa Dale Elementary,California,459
La Mesa Arts Academy,California,1073
La Presa Elementary,California,422
Sci Tech Engr Arts and Math Acad at La Presa,California,926
Lemon Avenue Elementary,California,620
Loma Elementary,California,342
Maryland Avenue Elementary,California,469
Murdock Elementary,California,666
Murray Manor Elementary,California,750
Northmont Elementary,California,502
Parkway Middle,California,772
Rancho Elementary,California,398
Rolando Elementary,California,560
Spring Valley Academy,California,773
Sweetwater Springs Elementary,California,519
Quest Academy,California,18
La Mesa-Spring Valley Home Independent Study,California,39
Burton Valley Elementary,California,810
Happy Valley Elementary,California,545
Lafayette Elementary,California,538
M. H. Stanley Middle,California,1235
Springhill Elementary,California,481
El Morro Elementary,California,529
Laguna Beach High,California,1116
Thurston Middle,California,766
Top of the World Elementary,California,607
Laguna Elementary,California,16
Cabrillo Elementary,California,564
Ocean Shore Elementary,California,438
Vallemar Elementary,California,524
Sunset Ridge Elementary,California,540
Ingrid B. Lacy Middle,California,549
Ortega Elementary,California,504
Pacifica Independent Home Study,California,27
Lagunita Elementary,California,99
Lagunitas Elementary,California,174
San Geronimo Valley Elementary,California,87
Lake Elementary,California,169
Transitional Learning Center (Continuation),California,17
Bijou Community,California,615
Mt. Tallac High,California,70
South Tahoe High,California,1029
South Tahoe Middle,California,889
Tahoe Valley Elementary,California,433
Sierra House Elementary,California,500
Lake Tahoe Environmental Science Magnet,California,398
Clear Lake High,California,399
Lakeport Elementary,California,480
Natural High (Continuation),California,18
Terrace Middle,California,596
Lakeport Alternative (Home School),California,34
Lakeport Community Day,California,7
Lakeside Elementary,California,86
Lakeside,California,637
Donald E. Suburu,California,736
Lakeside Elementary,California,334
Lakeside Farms Elementary,California,632
Lakeside Middle,California,791
Lakeview Elementary,California,708
Lindo Park Elementary,California,503
Riverview Elementary,California,637
Tierra del Sol Middle,California,703
Winter Gardens Elementary,California,368
River Valley Charter,California,297
Lemon Crest Elementary,California,577
Barona Indian Charter,California,97
National University Academy,California,878
Eucalyptus Hills Elementary,California,119
Alicante Avenue Elementary,California,1213
Lamont Elementary,California,754
Mountain View Middle,California,593
Myrtle Avenue Elementary,California,515
Desert View Elementary,California,757
El Dorado Elementary,California,683
Joshua Elementary,California,647
Linda Verde Elementary,California,820
Mariposa Elementary,California,570
Monte Vista Elementary,California,772
Piute Middle,California,966
Sierra Elementary,California,620
Sunnydale Elementary,California,586
Lancaster Alternative and Virtual Academies,California,68
New Vista Middle,California,946
Crossroads Community Day,California,40
Amargosa Creek Middle,California,1002
Nancy Cory Elementary,California,722
Lincoln Elementary,California,828
Jack Northrop Elementary,California,710
West Wind Elementary,California,788
Endeavour Middle,California,725
John and Jacquelyn Miller Elementary,California,683
Life Source International Charter,California,431
Discovery,California,785
Early Childhood Education,California,
iLEAD Lancaster Charter,California,673
Fulton and Alsbury Academy of Arts and Engineering,California,391
Hall Middle,California,511
Neil Cummins Elementary,California,578
Cove,California,429
Bay Laurel Elementary,California,622
Agoura High,California,2087
Calabasas High,California,1999
Chaparral Elementary,California,629
Indian Hills Continuation High,California,29
Lindero Canyon Middle,California,1018
Lupin Hill Elementary,California,579
Round Meadow Elementary,California,613
Sumac Elementary,California,418
White Oak Elementary,California,447
Willow Elementary,California,595
Arthur E. Wright Middle,California,884
Yerba Buena Elementary,California,416
Alice C. Stelle Middle,California,807
Mariposa School of Global Education,California,393
Buttercup Pre-School,California,
Lassen High,California,798
Lassen Community Day,California,8
Lassen View Elementary,California,298
Lassen View Community Day,California,0
Conejo Middle,California,159
Laton Elementary,California,355
Laton High,California,186
Latrobe Elementary,California,62
Miller's Hill,California,81
Billy Mitchell Elementary,California,555
F. D. Roosevelt Elementary,California,612
Mark Twain Elementary,California,534
Will Rogers Middle,California,968
William Anderson Elementary,California,746
William Green Elementary,California,735
Environmental Charter High,California,512
Jane Addams Middle,California,911
Lucille J. Smith Elementary,California,446
Le Grand Elementary,California,401
Le Grand High,California,463
Granada High,California,40
Lemon Grove Academy for the Sciences and Humanities,California,1153
Monterey Heights Elementary,California,437
Mt. Vernon Elementary,California,598
San Altos Elementary,California,409
San Miguel Elementary,California,562
Vista La Mesa Academy,California,631
Lemoore Elementary,California,603
Meadow Lane Elementary,California,575
P. W. Engvall Elementary,California,658
Liberty Middle,California,611
Cinnamon Elementary,California,562
Lemoore University Elementary Charter,California,232
Bridges Academy,California,8
Lemoore High,California,1858
Jamison (Donald C.) High (Continuation),California,86
Lemoore Middle College High,California,240
Buford Elementary,California,695
Felton Elementary,California,586
Jefferson Elementary,California,883
Moffett Elementary,California,861
Animo Leadership High,California,649
Lennox Middle,California,1478
Century Community Charter,California,459
Dolores Huerta Elementary,California,609
Lennox Mathematics Science and Technology Academy,California,573
Century Academy for Excellence,California,226
Lennox Virtual Academy,California,191
Redwood Elementary,California,923
Richland Junior High,California,780
Golden Oak Elementary,California,926
Sequoia Elementary,California,837
Lewiston Elementary,California,62
Liberty Elementary,California,167
California Virtual Academy @ Sonoma,California,615
Liberty Primary,California,52
California STEAM Sonoma,California,289
Liberty Elementary,California,573
La Paloma High (Continuation),California,168
Liberty High,California,2579
Freedom High,California,2643
Independence High,California,295
Heritage High,California,2499
Lincoln Elementary,California,9
Colonial Heights,California,553
John R. Williams,California,653
Lincoln Elementary,California,615
Lincoln High,California,2863
Mable Barron,California,729
Sierra Middle,California,665
Village Oaks High,California,245
Tully C. Knoles,California,720
Brookside,California,754
Claudia Landeen,California,676
Don Riggio,California,633
Special Education Preschool DIS,California,
John McCandless Charter,California,324
Glenwood Elementary,California,400
Linden Elementary,California,446
Linden High,California,625
Waterloo Elementary,California,371
Waverly Elementary,California,321
Pride Continuation,California,48
Jefferson Elementary,California,470
Lindsay Senior High,California,1044
Washington Elementary,California,707
John J. Cairns Continuation,California,103
Lindsay Community Day,California,10
Lincoln Elementary,California,448
Reagan Elementary,California,403
Roosevelt Elementary,California,495
Kennedy Elementary,California,481
Loma Vista Charter,California,30
Linns Valley-Poso Flat Elementary,California,22
Cresson Elementary,California,292
Jersey Avenue Elementary,California,482
Lake Center Middle,California,872
Lakeland Elementary,California,325
Lakeside Middle,California,603
Lakeview Elementary,California,554
William W. Orr Elementary,California,382
Paddison Elementary,California,435
Studebaker Elementary,California,507
Little Shasta Elementary,California,11
Green Acres Elementary,California,394
Live Oak Elementary,California,335
Shoreline Middle,California,553
Del Mar Elementary,California,418
Ocean Alternative Education Center,California,70
Cypress Charter High,California,144
Tierra Pacifica Charter,California,155
Special Education Preschool,California,
Encinal Elementary,California,116
Live Oak Middle,California,473
Live Oak High,California,528
Luther Elementary,California,639
Valley Oak Continuation High,California,18
Live Oak Alternative,California,32
Leo R. Croce Elementary,California,594
Andrew N. Christensen Middle,California,625
Arroyo Seco Elementary,California,660
Del Valle Continuation High,California,121
Junction K-8,California,843
East Avenue Middle,California,618
Emma C. Smith Elementary,California,764
Granada High,California,2164
Jackson Avenue Elementary,California,537
Joe Michell,California,737
Livermore High,California,1810
Marylin Avenue Elementary,California,410
Rancho Las Positas Elementary,California,565
Sunset Elementary,California,795
William Mendenhall Middle,California,977
Altamont Creek Elementary,California,551
Vineyard Alternative,California,131
Livermore Valley Charter,California,785
Livermore Valley Charter Preparatory High,California,307
Campus Park Elementary,California,499
Livingston Middle,California,831
Selma Herndon Elementary,California,668
Yamato Colony Elementary,California,524
Livingston Stepping Stones Preschool,California,
Sutherland Elementary,California,345
Davis Elementary,California,348
Oakwood Elementary,California,495
Erma B. Reese Elementary,California,648
George Washington Elementary,California,448
Heritage Elementary,California,517
Houston,California,190
Lakewood Elementary,California,553
Lawrence Elementary,California,563
Leroy Nichols Elementary,California,369
Liberty High,California,120
Live Oak Elementary,California,296
Lockeford Elementary,California,501
Lodi High,California,2128
Morada Middle,California,749
Lodi Middle,California,891
Tokay High,California,2057
Victor Elementary,California,164
Vinewood Elementary,California,566
Plaza Robles Continuation High,California,148
John Muir Elementary,California,629
Elkhorn,California,269
Clairmont Elementary,California,449
Independence,California,183
Henderson,California,60
Aspire Vincent Shalvey Academy,California,389
Middle College High,California,248
Joe Serna Jr. Charter,California,348
Parklane Elementary,California,525
Creekside Elementary,California,573
Delta Sierra Middle,California,617
Wagner-Holt Elementary,California,516
Beckman Elementary,California,681
Bear Creek High,California,2083
Westwood Elementary,California,562
Aspire River Oaks Charter,California,417
Julia Morgan Elementary,California,539
Clyde W. Needham Elementary,California,355
Aspire Benjamin Holt College Preparatory Academy,California,384
Lois E. Borchardt Elementary,California,854
Ansel Adams,California,734
Millswood Middle,California,848
Christa McAuliffe Middle,California,738
Ellerth E. Larson Elementary,California,796
Manlio Silva Elementary,California,862
Ronald E. McNair High,California,1719
George Lincoln Mosher,California,548
Woodbridge,California,386
Podesta Ranch Elementary,California,530
Rio Valley Charter,California,313
Walter J. Katnich Community Day,California,7
Turner Academy at Tokay Colony,California,25
Aspire Benjamin Holt Middle School,California,447
Loleta Elementary,California,106
Pacific View Charter,California,199
C. T. English Middle,California,226
Loma Prieta Elementary,California,281
La Entrada Middle,California,812
Las Lomitas Elementary,California,568
Buena Vista Elementary,California,660
Cabrillo High,California,1346
Crestview Elementary,California,535
Leonora Fillmore Elementary,California,646
Arthur Hapgood Elementary,California,625
La Canada Elementary,California,638
Lompoc Valley Middle,California,637
Lompoc High,California,1418
Los Berros Visual and Performing Arts Academy,California,451
Maple High,California,145
Clarence Ruth Elementary,California,597
Vandenberg Middle,California,831
La Honda STEAM Academy,California,523
Miguelito Elementary,California,631
Mission Valley,California,27
Manzanita Public Charter,California,417
Dr Bob Forinash Community Day,California,11
Lo-Inyo Elementary,California,212
Lone Pine High,California,87
Sierra Alternative Learning Academy,California,0
Addams Elementary,California,897
Bancroft Middle,California,980
Barton Elementary,California,613
Birney Elementary,California,667
Bixby Elementary,California,475
Bryant Elementary,California,362
Burbank Elementary,California,775
Burcham Elementary,California,455
Bobbie Smith Elementary,California,851
Carver Elementary,California,505
Cleveland Elementary,California,491
Jessie Nelson Academy,California,785
Cubberley K-8,California,1037
Edison Elementary,California,660
Emerson Parkside Academy,California,553
Franklin Classical Middle,California,1298
Fremont Elementary,California,523
Gant Elementary,California,600
Garfield Elementary,California,748
Gompers K-8,California,773
Grant Elementary,California,1103
Hamilton Middle,California,910
Harte Elementary,California,912
Henry,California,811
Hill Classical Middle,California,
Holmes Elementary,California,418
Hoover Middle,California,828
Hudson K-8,California,728
Hughes Middle,California,1528
Jefferson Leadership Academies,California,1123
Jordan High,California,3003
Kettering Elementary,California,353
King Elementary,California,737
Lafayette Elementary,California,971
Lakewood High,California,3280
Olivia Nieto Herrera Elementary,California,904
Lincoln Elementary,California,1104
Lindbergh STEM Academy,California,615
Longfellow Elementary,California,1002
Los Cerritos Elementary,California,525
Lowell Elementary,California,744
MacArthur Elementary,California,356
Madison Elementary,California,392
Mann Elementary,California,382
Marshall Academy of the Arts,California,955
McKinley Elementary,California,664
Millikan High,California,3570
Muir K-8,California,1101
Naples Elementary,California,368
Newcomb Academy,California,882
Polytechnic High,California,4220
Prisk Elementary,California,568
Reid High,California,177
Riley Elementary,California,430
Rogers Middle,California,870
Roosevelt Elementary,California,1075
Signal Hill Elementary,California,731
Stanford Middle,California,1266
Stephens Middle,California,846
Stevenson Elementary,California,644
Tincher Preparatory,California,748
Twain Elementary,California,608
Washington Middle,California,1093
Webster Elementary,California,591
Whittier Elementary,California,1070
Willard Elementary,California,729
Wilson High,California,3739
Robinson Academy,California,956
Cabrillo High,California,2542
Avalon K-12,California,598
Powell Academy for Success,California,1373
Renaissance High School for the Arts,California,426
Two Harbors Elementary,California,
Jenny Oropeza Elementary,California,819
California Academy of Mathematics and Science,California,683
Alvarado Elementary,California,412
Educational Partnership High,California,804
Chavez Elementary,California,451
Select Community Day (Secondary),California,8
Lindsey Academy,California,779
Dooley Elementary,California,1049
Beach High-Intensive Learning Program,California,149
Ernest S. McBride Sr. High,California,732
Intellectual Virtues Academy of Long Beach,California,187
Clear Passage Educational Center,California,54
Eunice Sato Academy of Math & Science,California,224
Helen Keller Middle,California,226
Franklin Elementary,California,489
Loomis Elementary,California,495
Placer Elementary,California,532
Ophir Elementary,California,232
H. Clarke Powers Elementary,California,506
Penryn Elementary,California,236
Loomis Basin Charter,California,408
John Adams Academy,California,1293
Richard Henry Lee Elementary,California,660
Oak Middle,California,1142
Jack L. Weaver Elementary,California,693
Francis Hopkinson Elementary,California,701
Los Alamitos Elementary,California,694
Los Alamitos High,California,3235
Sharon Christa McAuliffe Middle,California,1254
Rossmoor Elementary,California,660
Laurel High (Continuation),California,
J. H. McGaugh Elementary,California,852
Almond Elementary,California,541
Georgina P. Blach Junior High,California,499
Ardis G. Egan Junior High,California,658
Loyola Elementary,California,446
Oak Avenue Elementary,California,430
Santa Rita Elementary,California,541
Springer Elementary,California,501
Covington Elementary,California,561
Gardner Bullis Elementary,California,345
LASD Preschool,California,
Sara Coughlin Elementary,California,629
Esperanza Elementary,California,823
Walnut Park Elementary,California,767
Frank Lanterman,California,92
Youth Opportunities Unlimited,California,305
Los Angeles Elementary,California,765
John Adams Middle,California,835
Jane Addams Continuation,California,114
William Tell Aggeler Opportunity High,California,92
Albion Street Elementary,California,254
Aldama Elementary,California,526
Alexandria Avenue Elementary,California,795
John R. Wooden High,California,107
Allesandro Elementary,California,423
Alta Loma Elementary,California,545
Ambler Avenue Elementary,California,546
Amestoy Elementary,California,788
Anatola Avenue Elementary,California,474
Andasol Avenue Elementary,California,432
Angel's Gate (Continuation),California,90
Angeles Mesa Elementary,California,394
Ann Street Elementary,California,126
Annalee Avenue Elementary,California,222
Annandale Elementary,California,213
Apperson Street Elementary,California,406
Aragon Avenue Elementary,California,339
Westside Global Awareness Magnet,California,388
Mid-City's Prescott School of Enriched Sciences,California,250
Arlington Heights Elementary,California,484
Arminta Street Elementary,California,464
Ascot Avenue Elementary,California,903
Atwater Avenue Elementary,California,287
Audubon Middle,California,539
Avalon High,California,76
Avalon Gardens Elementary,California,236
Balboa Gifted/High Ability Magnet Elementary,California,744
Baldwin Hills Elementary,California,378
Hubert Howe Bancroft Middle,California,814
Bandini Street Elementary,California,340
Phineas Banning Senior High,California,2017
Barton Hill Elementary,California,629
Bassett Street Elementary,California,830
Beachy Avenue Elementary,California,589
Beckford Charter for Enriched Studies,California,623
Beethoven Street Elementary,California,330
Bell Senior High,California,2953
Belvedere Elementary,California,783
Belvedere Middle,California,1075
Berendo Middle,California,763
Bertrand Avenue Elementary,California,418
Mary McLeod Bethune Middle,California,1132
Birmingham Community Charter High,California,3161
Blythe Street Elementary,California,456
Bonita Street Elementary,California,542
Braddock Drive Elementary,California,419
Brainard Elementary,California,168
Breed Street Elementary,California,415
Brentwood Science,California,779
Bridge Street Elementary,California,207
Broad Avenue Elementary,California,675
Broadacres Avenue Elementary,California,303
Broadway Elementary,California,596
Brockton Avenue Elementary,California,218
Brooklyn Avenue Elementary,California,604
Bryson Avenue Elementary,California,835
Buchanan Street Elementary,California,418
Budlong Avenue Elementary,California,856
Luther Burbank Middle,California,881
Burbank Boulevard Elementary,California,381
John Burroughs Middle,California,1786
Bushnell Way Elementary,California,230
Richard E. Byrd Middle,California,1489
Cabrillo Avenue Elementary,California,404
Cahuenga Elementary,California,513
Calabash Charter Academy,California,434
Calahan Community Charter,California,565
Calvert Charter for Enriched Studies,California,402
Camellia Avenue Elementary,California,671
Canfield Avenue Elementary,California,360
Canoga Park Elementary,California,712
Canoga Park Senior High,California,1408
Cantara Street Elementary,California,513
Canterbury Avenue Elementary,California,949
Canyon Charter Elementary,California,388
Capistrano Avenue Elementary,California,444
Andrew Carnegie Middle,California,908
Caroldale Learning Community,California,938
Carpenter Community Charter,California,988
Carson Senior High,California,1439
Carson Street Elementary,California,729
Carthay Elementary Of Environmental Studies Magnet,California,367
George Washington Carver Middle,California,820
Castelar Street Elementary,California,660
Castle Heights Elementary,California,562
Castlebay Lane Charter,California,735
Catskill Avenue Elementary,California,573
Central High,California,473
Century Park Elementary,California,328
Chandler Learning Academy,California,508
Chapman Elementary,California,453
Charnock Road Elementary,California,356
Chase Street Elementary,California,627
Chatsworth Park Elementary,California,390
Chatsworth Charter High,California,1936
Cheremoya Avenue Elementary,California,328
Cheviot Hills Continuation,California,77
Cienega Elementary,California,626
Cimarron Avenue Elementary,California,310
City Terrace Elementary,California,451
Grover Cleveland Charter High,California,3198
Clifford Street Elementary,California,159
Clover Avenue Elementary,California,596
Coeur D'Alene Avenue Elementary,California,578
Cohasset Street Elementary,California,563
Coldwater Canyon Elementary,California,794
Colfax Charter Elementary,California,639
Coliseum Street Elementary,California,229
Christopher Columbus Middle,California,689
Commonwealth Avenue Elementary,California,695
Community Magnet Charter Elementary,California,461
Compton Avenue Elementary,California,354
Corona Avenue Elementary,California,850
Betty Plasencia Elementary,California,655
Cowan Avenue Elementary,California,296
Crenshaw Sci Tech Engr Math and Med Magnet,California,846
Crescent Heights Boulevard Elementary,California,372
Crestwood Street Elementary,California,414
Glenn Hammond Curtiss Middle,California,442
Christopher Dena Elementary,California,477
Dahlia Heights Elementary,California,392
Richard Henry Dana Middle,California,1645
Danube Avenue Elementary,California,448
Darby Avenue Charter,California,486
Dayton Heights Elementary,California,483
Dearborn Elementary Charter Academy,California,548
Del Amo Elementary,California,380
Delevan Drive Elementary,California,484
Denker Avenue Elementary,California,780
Dixie Canyon Community Charter,California,727
Rudecinda Sepulveda Dodson Middle,California,1871
Dolores Street Elementary,California,594
Dominguez Elementary,California,568
Dorris Place Elementary,California,317
Susan Miller Dorsey Senior High,California,1023
Charles Drew Middle,California,862
Tom Bradley Global Awareness Magnet,California,367
Dyer Street Elementary,California,733
Eagle Rock Elementary,California,751
Eagle Rock High,California,2373
Eagle Tree Continuation,California,74
Amelia Earhart Continuation,California,81
Eastman Avenue Elementary,California,864
Thomas A. Edison Middle,California,1208
Albert Einstein Continuation,California,76
El Camino Real Charter High,California,3660
El Dorado Avenue Elementary,California,520
El Oro Way Charter For Enriched Studies,California,487
El Sereno Elementary,California,372
El Sereno Middle,California,1243
Elizabeth Learning Center,California,1765
Ellington (Duke) High (Continuation),California,72
Elysian Heights Elementary,California,270
Emelita Academy Charter,California,387
Emerson Community Charter,California,622
Encino Charter Elementary,California,564
Erwin Elementary,California,722
Eshelman Avenue Elementary,California,586
Euclid Avenue Elementary,California,755
Evergreen Avenue Elementary,California,807
Evergreen Continuation,California,68
Fair Avenue Elementary,California,845
Fairburn Avenue Elementary,California,438
Fairfax Senior High,California,1922
Farmdale Elementary,California,523
Fenton Avenue Charter,California,773
Fernangeles Elementary,California,687
Fifteenth Street Elementary,California,551
Fifty-Fourth Street Elementary,California,342
Fifty-Ninth Street Elementary,California,361
Fifty-Second Street Elementary,California,881
Figueroa Street Elementary,California,447
Hillery T. Broadous Elementary,California,581
First Street Elementary,California,655
Alexander Fleming Middle,California,1414
Fletcher Drive Elementary,California,345
Florence Avenue Elementary,California,753
Ford Boulevard Elementary,California,1069
Forty-Ninth Street Elementary,California,755
Forty-Second Street Elementary,California,220
Foshay Learning Center,California,1961
Fourth Street Elementary,California,573
John H. Francis Polytechnic,California,2806
Benjamin Franklin Senior High,California,1398
Franklin Avenue Elementary,California,500
John C. Fremont Senior High,California,1990
Fries Avenue Elementary,California,551
Robert Frost Middle,California,1653
Fullbright Avenue Elementary,California,465
Robert Fulton College Preparatory,California,1632
Henry T. Gage Middle,California,1685
Gardena Elementary,California,593
Gardena Senior High,California,1506
Gardner Street Elementary,California,381
James A. Garfield Senior High,California,2531
Garvanza Elementary,California,368
Gates Street Elementary,California,712
Gault Street Elementary,California,361
Germain Academy For Academic Achievement,California,509
Glassell Park Elementary,California,386
Gledhill Street Elementary,California,497
Glen Alta Elementary,California,183
Glenfeliz Boulevard Elementary,California,306
Glenwood Elementary,California,371
Samuel Gompers Middle,California,493
Graham Elementary,California,810
Granada Community Charter,California,448
Granada Hills Charter High,California,4662
Grand View Boulevard Elementary,California,704
Ulysses S. Grant Senior High,California,1873
Grant Elementary,California,548
Grape Street Elementary,California,606
Zane Grey Continuation,California,73
Gridley Street Elementary,California,598
Griffin Avenue Elementary,California,470
Griffith Middle,California,1397
Gulf Avenue Elementary,California,876
Haddon Avenue Elementary,California,829
George Ellery Hale Charter Academy,California,2056
Halldale Elementary,California,553
Alexander Hamilton Senior High,California,2719
Hamlin Charter Academy,California,400
William R. Anton Elementary,California,730
Hancock Park Elementary,California,702
Harbor City Elementary,California,639
Harding Street Elementary,California,422
Harold McAlister High (Opportunity),California,126
Harrison Street Elementary,California,501
Hart Street Elementary,California,798
Bret Harte Preparatory Middle,California,617
Haskell Elem Sci Tech Engr Arts And Math (STEAM) Magnet,California,595
Hawaiian Avenue Elementary,California,662
Hazeltine Avenue Elementary,California,796
Heliotrope Avenue Elementary,California,680
Patrick Henry Middle,California,1085
Herrick Avenue Elementary,California,561
Highland Park Continuation,California,69
Hillcrest Drive Elementary,California,648
Hillside Elementary,California,186
Hobart Boulevard Elementary,California,677
Hollenbeck Middle,California,1065
Hollywood Senior High,California,1515
Oliver Wendell Holmes Middle,California,1373
Holmes Avenue Elementary,California,275
Hooper Avenue Elementary,California,948
Hoover Street Elementary,California,784
John Hope Continuation,California,74
Hubbard Street Elementary,California,611
Humphreys Avenue Elementary,California,634
Huntington Drive Elementary,California,380
Huntington Park Senior High,California,1595
YES Academy,California,612
Independence Continuation,California,118
Washington Irving Mid Sch Math Music and Engr Magnet,California,754
Ivanhoe Elementary,California,455
Thomas Jefferson Senior High,California,777
Joaquin Miller Career and Transition Center,California,257
John F. Kennedy High,California,2133
David Starr Jordan Senior High,California,501
Joseph Pomeroy Widney High,California,277
Justice Street Academy Charter,California,391
Robert F. Kennedy Elementary,California,349
Kenter Canyon Elementary Charter,California,554
Kentwood Elementary,California,352
Kester Avenue Elementary,California,1000
Thomas Starr King Middle School Film and Media Magnet,California,1942
Kittridge Street Elementary,California,850
Knollwood Preparatory Academy,California,418
La Salle Avenue Elementary,California,429
Lanai Road Elementary,California,568
Robert Hill Lane Elementary,California,400
Langdon Avenue Elementary,California,610
Lankershim Elementary,California,431
Lassen Elementary,California,513
Latona Avenue Elementary,California,171
Laurel Elementary,California,319
Ernest Lawrence Middle,California,1459
Joseph Le Conte Middle,California,944
Leapwood Avenue Elementary,California,279
Leland Street Elementary,California,544
Lemay Street Elementary,California,396
Robert H. Lewis Continuation,California,69
Liberty Boulevard Elementary,California,606
Liggett Street Elementary,California,743
Lillian Street Elementary,California,524
Limerick Avenue Elementary,California,815
Abraham Lincoln Senior High,California,1005
Lockhurst Drive Charter Elementary,California,474
Lockwood Avenue Elementary,California,456
Logan Street Elementary,California,404
Loma Vista Elementary,California,778
Lomita Math/Science/Technology Magnet,California,948
Jack London Continuation,California,69
Lorena Street Elementary,California,503
Loreto Street Elementary,California,379
Lorne Street Elementary,California,615
Los Angeles Senior High,California,1271
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,California,468
Loyola Village Fine And Performing Arts Magnet,California,395
Charles Maclay Middle,California,653
James Madison Middle,California,1732
Magnolia Avenue Elementary,California,1109
Main Street Elementary,California,909
Malabar Street Elementary,California,699
Manchester Avenue Elementary,California,812
Manhattan Place Elementary,California,427
Horace Mann Junior High,California,315
Manual Arts Senior High,California,1469
Mar Vista Elementary,California,573
Marianna Avenue Elementary,California,363
Marina del Rey Middle,California,595
Mark Twain Middle,California,622
Edwin Markham Middle,California,762
Marquez Charter,California,533
John Marshall Senior High,California,2360
Marvin Elementary,California,865
Mayall Street Elementary,California,490
Mayberry Street Elementary,California,289
McKinley Avenue Elementary,California,835
Melrose Avenue Elementary,California,334
Melvin Avenue Elementary,California,392
Menlo Avenue Elementary,California,544
Metropolitan Continuation,California,116
Meyler Street Elementary,California,758
Micheltorena Street Elementary,California,391
Middleton Street Elementary,California,1019
Miles Avenue Elementary,California,1013
Loren Miller Elementary,California,764
Robert A. Millikan Mid Sch Perf Arts Magnet & Sci Acad STEM,California,1856
Miramonte Elementary,California,744
Mission Continuation,California,69
Moneta Continuation,California,46
John B. Monlux Elementary,California,707
James Monroe High,California,2230
Montague Charter Academy,California,898
Monte Vista Street Elementary,California,424
Monterey Continuation,California,71
Morningside Elementary,California,620
Mountain View Elementary,California,361
Mt. Gleason Middle,California,839
Mt. Lukens Continuation,California,37
Johnnie Cochran Jr. Middle,California,720
Mt. Washington Elementary,California,439
John Muir Middle,California,939
William Mulholland Middle,California,1269
Multnomah Street Elementary,California,453
Murchison Street Elementary,California,479
Napa Street Elementary,California,474
Nathaniel Narbonne Senior High,California,2367
Nestle Avenue Charter,California,560
Nevada Avenue Elementary,California,446
Nevin Avenue Elementary,California,680
Harris Newmark Continuation,California,152
Florence Nightingale Middle,California,734
Chester W. Nimitz Middle,California,1763
Ninety-Fifth Street Elementary,California,999
Ninety-Ninth Street Elementary,California,579
Ninety-Second Street Elementary,California,924
Charles W. Barrett Elementary,California,886
Ninety-Sixth Street Elementary,California,807
Ninety-Third Street Elementary,California,1066
Alfred B. Nobel Charter Middle,California,2442
Noble Avenue Elementary,California,891
Normandie Avenue Elementary,California,911
Normont Elementary,California,375
North Hollywood Senior High,California,2520
