school_name,state_name,enrollment
Temecula Preparatory,California,1061
Temecula Valley High,California,2724
Rancho Vista High,California,176
Temecula Middle,California,1202
Vail Elementary,California,561
Rancho Elementary,California,510
Margarita Middle,California,915
Temecula Elementary,California,630
Nicolas Valley Elementary,California,790
Red Hawk Elementary,California,573
Ysabel Barnett Elementary,California,934
Susan H. Nelson,California,209
Great Oak High,California,3342
Alamos Elementary,California,895
Bella Vista Middle,California,1268
Crowne Hill Elementary,California,624
Susan La Vorgna Elementary,California,839
Tony Tobin Elementary,California,889
French Valley Elementary,California,923
Erle Stanley Gardner Middle,California,1155
Temecula Luiseno Elementary,California,917
Creekside High,California,
Thompson Middle,California,1671
Tovashal Elementary,California,764
Cole Canyon Elementary,California,1063
Murrieta Elementary,California,807
Avaxat Elementary,California,753
Alta Murrieta Elementary,California,810
E. Hale Curran Elementary,California,562
Rail Ranch Elementary,California,618
Murrieta Valley High,California,2481
Shivela Middle,California,1423
Daniel N. Buchanan Elementary,California,943
Warm Springs Middle,California,877
Antelope Hills Elementary,California,841
Monte Vista Elementary,California,975
Murrieta Canyon Academy,California,267
Vista Murrieta High,California,3574
Lisa J. Mails Elementary,California,923
Dorothy McElhinney Middle,California,1325
Murrieta Mesa High,California,2290
Pacific Valley (K-12),California,14
Big Sur Charter School,California,95
Redondo Shores High (Continuation),California,56
Adams Middle,California,1004
Alta Vista Elementary,California,682
Beryl Heights Elementary,California,495
Birney Elementary,California,463
Parras (Nick G.) Middle,California,1200
Jefferson Elementary,California,638
Lincoln Elementary,California,611
Madison Elementary,California,482
Tulita Elementary,California,500
Washington Elementary,California,740
Redondo Union High,California,2871
Redondo Beach Learning Academy,California,6
Bryant Middle,California,501
Dos Palos Elementary,California,576
Dos Palos High,California,683
Bernhard Marks Elementary,California,523
Westside High,California,38
Westside Community Day Middle High,California,4
Dos Palos Carver Center,California,
Mattie Washburn Elementary,California,475
Windsor High,California,1711
Windsor Middle,California,858
Cali Calmecac Language Academy,California,1112
Windsor Creek Elementary,California,395
Windsor Oaks Academy,California,59
Brooks Elementary,California,464
Village Charter,California,88
Bridges Community Based School North County Consortium,California,43
Manzanita Montessori Charter,California,
Farmersville Junior High,California,389
J. E. Hester Elementary,California,421
George L. Snowden Elementary,California,401
Farmersville High,California,724
Deep Creek Academy,California,30
Freedom Elementary,California,596
American Lakes Elementary,California,451
Jefferson Elementary,California,476
Bannon Creek Elementary,California,486
Natomas High,California,1104
Discovery High,California,128
Natomas Charter,California,1836
Natomas Middle,California,739
Natomas Park Elementary,California,783
Two Rivers Elementary,California,698
Inderkum High,California,2011
Witter Ranch Elementary,California,737
Westlake Charter,California,918
Heron,California,1005
Natomas Pacific Pathways Prep,California,591
H. Allen Hight Elementary,California,639
Natomas Pacific Pathways Prep Middle,California,522
Westlake Charter Middle,California,
Leroy Greene Academy,California,714
Natomas Gateways Middle,California,507
Natomas Pacific Pathways Prep Elementary,California,275
Ferndale Elementary,California,360
Ferndale High,California,153
Mattole Triple Junction High,California,11
Mattole Elementary,California,39
Mattole Valley Charter (#159),California,680
Honeydew Elementary,California,7
El Capitan Elementary,California,301
Schendel Elementary,California,527
Delhi High,California,705
Delhi Middle,California,437
Shattuck Educational Park,California,34
Harmony Elementary,California,619
Shattuck Independent Study,California,18
Riverdale Elementary,California,573
Fipps Primary,California,471
Riverdale High,California,565
Horizon High,California,21
Warner Junior/Senior High,California,82
San Jose Valley Continuation High,California,0
Warner Elementary,California,75
All Tribes Charter,California,51
All Tribes Elementary Charter,California,49
California Pacific Charter Schools - San Diego,California,1476
Brook Knoll Elementary,California,538
Scotts Valley Middle,California,572
Vine Hill Elementary,California,573
Scotts Valley High,California,819
Healdsburg Elementary,California,347
Healdsburg High,California,589
Healdsburg Junior High,California,364
Marce Becerra Academy,California,17
Healdsburg Charter,California,283
North Valley High (Continuation),California,28
Orland High,California,723
Fairview Elementary,California,494
Mill Street Elementary,California,495
Price Intermediate,California,459
Orland Community Day,California,2
Gonzales High,California,766
Fairview Middle,California,758
La Gloria Elementary,California,870
Somavia High,California,30
Merrill F. West High,California,2105
Duncan-Russell Continuation,California,14
Tracy High,California,2108
Central Elementary,California,483
Monte Vista Middle,California,950
McKinley Elementary,California,442
North Elementary,California,788
South/West Park Elementary,California,834
Louis J. Villalovoz Elementary,California,549
Melville S. Jacobson Elementary,California,631
Gladys Poet-Christian Elementary,California,549
Earle E. Williams Middle,California,1017
Louis A. Bohn Elementary,California,480
Wanda Hirsch Elementary,California,546
Willow Community Day,California,29
Discovery Charter,California,373
Art Freiler,California,910
Primary Charter,California,362
Millennium Charter,California,534
George Kelly Elementary,California,1069
George and Evelyn Stein Continuation,California,129
John C. Kimball High,California,1511
Paso Robles High,California,2058
Liberty High (Continuation),California,140
Georgia Brown Dual Immersion Magnet Elementary,California,579
Arts Academy at Bauer Speck Elementary,California,493
Winifred Pifer Elementary,California,486
George H. Flamson Middle,California,709
Virginia Peterson Elementary,California,487
Pat Butler Elementary,California,462
Daniel Lewis Middle,California,779
Paso Robles Independent Study Center,California,32
Kermit King Elementary,California,478
Independence High,California,108
Leffingwell High (Continuation),California,10
Coast Union High,California,216
Cambria Grammar,California,264
Santa Lucia Middle,California,159
Cambria Community Day,California,0
McKinley Elementary,California,327
Sycamore Middle,California,473
Wilson Elementary,California,578
Esperanza High (Continuation),California,24
Gridley High,California,616
Gridley Unified Community Day (7-12),California,0
Alice Birney Elementary,California,415
Catherine L. Zane Middle,California,641
Eureka Senior High,California,1102
Grant Elementary,California,301
Lafayette Elementary,California,352
Washington Elementary,California,492
Zoe Barnum High,California,67
Winship Middle,California,343
Emilie J. Ross Middle,California,482
Hughson Elementary,California,554
Hughson High,California,689
Dickens (Billy Joe) High (Continuation),California,22
Fox Road Elementary,California,328
Valley Community Day,California,8
Riverbank High,California,682
California Avenue Elementary,California,590
Cardozo Middle,California,507
Adelante High,California,55
Riverbank Language Academy,California,562
Mesa Verde Elementary,California,479
Oakdale High,California,1544
Cloverland Elementary,California,537
Fair Oaks Elementary,California,836
Magnolia Elementary,California,645
Oakdale Junior High,California,844
Oakdale Charter,California,62
Valley Oak Junior and Senior High,California,31
East Stanislaus High,California,93
Sierra View Elementary,California,673
Waterford Junior,California,257
Waterford High,California,603
Connecting Waters Charter,California,2164
Sentinel High,California,31
Richard M. Moon Primary,California,546
Lucille Whitehead Intermediate,California,388
Bartlett Middle,California,566
Belleview Elementary,California,429
John J. Doyle Elementary,California,682
Olive Street Elementary,California,691
Pioneer Middle,California,819
Roche Elementary,California,384
Vandalia Elementary,California,605
West Putnam Elementary,California,487
Westfield Elementary,California,691
Citrus High,California,148
Monache High,California,1876
Porterville High,California,1980
Monte Vista Elementary,California,509
Vine Street Community Day,California,16
Granite Hills High,California,1318
Los Robles Elementary,California,539
Prospect Education Center,California,83
Santa Fe Elementary,California,717
Strathmore High,California,297
Sequoia Middle,California,605
Butterfield Charter High,California,369
Harmony Magnet Academy,California,557
Grand View Elementary,California,335
Jefferson Elementary,California,712
Lincoln Elementary,California,552
Washington Intermediate,California,998
Wilson Elementary,California,607
Dinuba High,California,1955
Sierra Vista High (Continuation),California,61
Roosevelt Elementary,California,673
Ronald Reagan Academy,California,140
John F. Kennedy Elementary,California,553
Caruthers Elementary,California,830
Caruthers High,California,594
MARC High,California,18
Webster Elementary,California,530
Independence Continuation High,California,10
Liberty High,California,600
Ranchos Middle,California,275
Lincoln Community Day,California,4
Valley Teen Ranch Community Day,California,20
Sierra View Elementary,California,408
